codigoarticulo	codigofabrica	ubicacion	codigodemarca	nombre_marca	
AM-12.03	MAA-012.0003	2-2-07-1-06	79	BMB FILTER	
AM-12.04	MAA-012.0004	2-2-07-1-05	79	BMB FILTER	
AM-12.05	MAA-012.0005	2-2-07-1-04	79	BMB FILTER	
AM-12.06	MAA-012.0006	2-2-07-1-03	79	BMB FILTER	
AM-12.07	MAA-012.0007	2-2-07-1-02	79	BMB FILTER	
AM-12.08	MAA-012.0008	2-2-07-1-01	79	BMB FILTER	
AM-12.11	MAA-012.0011	2-2-07-2-01	79	BMB FILTER	
AM-12.14	MAA-012.0014	2-2-07-2-02	79	BMB FILTER	
AM-12.15	MAA-012.0015	2-2-07-2-03	79	BMB FILTER	
AM-12.16	MAA-012.0016	2-2-07-3-07	79	BMB FILTER	
AM-12.17	MAA-012.0017	2-2-07-2-04	79	BMB FILTER	
AM-12.22	MAA-012.0022	2-2-07-2-06	79	BMB FILTER	
AM-12.23	MAA-012.0023	2-2-07-2-07	79	BMB FILTER	
AM-12.25	MAA-012.0025	2-2-07-2-08	79	BMB FILTER	
AM-12.26	MAA-012.0026	2-2-07-3-09	79	BMB FILTER	
AM-12.27	MAA-012.0027	2-2-07-3-08	79	BMB FILTER	
AM-12.28	MAA-012.0028	2-2-07-3-07	79	BMB FILTER	
AM-12.29	MAA-012.0029	2-2-07-3-06	79	BMB FILTER	
AM-12.31	MAA-012.0031	2-2-07-3-05	79	BMB FILTER	
AM-12.36	MAA-012.0036	2-2-07-3-04	79	BMB FILTER	
AM-12.37	MAA-012.0037	2-2-07-3-03	79	BMB FILTER	
AM-12.42	MAA-012.0042	2-2-07-3-02	79	BMB FILTER	
AM-12.45	MAA-012.0045	2-2-07-3-01	79	BMB FILTER	
AM-12.46	MAA-012.0046	2-2-05-1-09	79	BMB FILTER	
AM-12.47	MAA-012.0047	2-2-05-1-08	79	BMB FILTER	
AM-12.48	MAA-012.0048	2-2-05-1-07	79	BMB FILTER	
AM-12.50	MAA-012.0050	2-2-05-1-06	79	BMB FILTER	
AM-12.51	MAA-012.0051	2-2-05-1-05	79	BMB FILTER	
AM-12.52	MAA-012.0052	2-2-05-1-04	79	BMB FILTER	
AM-12.53	MAA-012.0053	2-2-05-1-03	79	BMB FILTER	
AM-12.54	MAA-012.0054	2-2-05-1-02	79	BMB FILTER	
AM-12.64	MAA-012.0064	2-2-05-1-01	79	BMB FILTER	
AM-12.67	MAA-012.0067	2-2-05-2-01	79	BMB FILTER	
AM-12.68	MAA-012.0068	2-2-05-2-02	79	BMB FILTER	
AM-12.71	MAA-012.0071	2-2-05-2-03	79	BMB FILTER	
AM-12.74	MAA-012.0074	2-2-05-2-04	79	BMB FILTER	
AM-13.01	MAA-013.0001	2-2-05-2-05	79	BMB FILTER	
AM-13.09	MAA-013.0009	2-2-05-2-06	79	BMB FILTER	
AM-13.14	MAA-013.0014	2-2-05-2-07	79	BMB FILTER	
AM-13.15	MAA-013.0015	2-2-05-3-12	79	BMB FILTER	
AM-13.19	MAA-013.0019	2-2-05-3-11	79	BMB FILTER	
AM-13.27	MAA-013.0027	2-2-05-3-10	79	BMB FILTER	
AM-13.31	MAA-013.0031	2-2-05-3-09	79	BMB FILTER	
AM-13.33	MAA-013.0033	2-2-05-3-08	79	BMB FILTER	
AM-13.38	MAA-013.0038	2-2-05-3-07	79	BMB FILTER	
AM-13.46	MAA-013.0046	2-2-03-2-06	79	BMB FILTER	
AM-14.02	MAA-014.0002	2-2-05-3-06	79	BMB FILTER	
AM-14.03	MAA-014.0003	2-2-05-3-05	79	BMB FILTER	
AM-14.06	MAA-014.0006	2-2-05-3-04	79	BMB FILTER	
AM-18.03	MXX-018.0003		79	BMB FILTER	
AM-18.04	MXX-018.0004		79	BMB FILTER	
AM-18.09	MXX-018.0009	2-2-03-2-03	79	BMB FILTER	
AM-20.01	MAA-020.0001	2-2-05-3-02	79	BMB FILTER	
AM-20.02	MAA-020.0002	2-2-05-3-01	79	BMB FILTER	
AM-20.04	MAA-020.0004	2-2-03-2-02	79	BMB FILTER	
AM-20.07	MAA-020.0007	2-2-03-1-08	79	BMB FILTER	
