codigoarticulo	codigofabrica	ubicacion	codigodemarca	nombre_marca	
FAP-1002	FAP-1002	2-1-05-3-02	020	WEGA	
FAP-1003	FAP-1003	2-1-05-3-03	020	WEGA	
FAP-1004	FAP-1004	2-1-05-3-04	020	WEGA	
FAP-1007	FAP-1007	2-1-05-3-05	020	WEGA	
FAP-1008	FAP-1008	2-1-05-3-06	020	WEGA	
FAP-1009	FAP-1009	2-1-05-3-07	020	WEGA	
FAP-1010	FAP-1010	2-1-05-3-08	020	WEGA	
FAP-1011	FAP-1011	2-1-05-3-09	020	WEGA	
FAP-1012	FAP-1012	2-1-05-3-10	020	WEGA	
FAP-1013	FAP-1013		020	WEGA	
FCC-200	FCC-200	2-1-05-1-12	020	WEGA	
FCC-2160	FCC-2160	2-2-01-2-16	020	WEGA	
FCC-400	FCC-400	2-1-05-1-13	020	WEGA	
FCC-401	FCC-401	2-1-05-1-14	020	WEGA	
FCC-404	FCC-404	2-1-05-1-15	020	WEGA	
FCC-404/1	FCC-404/1	2-1-05-1-16	020	WEGA	
FCC-405	FCC-405	2-1-07-1-01	020	WEGA	
FCC-406	FCC-406	2-1-07-1-02	020	WEGA	
FCI-0200	FCI-0200	2-1-05-1-08	020	WEGA	
FCI-0201	FCI-0201		020	WEGA	
FCI-0203	FCI-0203	2-1-05-1-09	020	WEGA	
FCI-0205	FCI-0205	2-1-05-1-10	020	WEGA	
FCI-0207	FCI-0207	2-1-05-1-11	020	WEGA	
FD130	FD130	1-2-05-1-03	80	CROSS X	
FD201	FD201	1-2-05-1-03	80	CROSS X	
FD203	FD203	1-2-05-1-03	80	CROSS X	
FLED-101	FLED-101	1-3-04-3-07	061	BHI	
FY101	FY101	1-2-03-2-09	80	CROSS X	
GTE600-L	GTE600	2-3-06-3-04	21	XXI	
GTE600-M	GTE600	2-3-06-3-03	21	XXI	
GTE600-S	GTE600	2-2-06-3-04	21	XXI	
GTE600-XL	GTE600	2-3-08-1-04	21	XXI	
GTE600-XXL	GTE600	2-3-06-1-03	21	XXI	
GTE600-XXXL	GTE600	2-3-06-3-01	21	XXI	
GTE621-L	GTE621		21	XXI	
GTE621-M	GTE621	2-3-06-2-04	21	XXI	
GTE621-XL	GTE621	2-3-06-2-05	21	XXI	
GTE621-XXL	GTE621	2-3-06-2-02	21	XXI	
GTE621-XXXL	GTE621	2-3-06-2-01	21	XXI	
GUI200	GUI200	1-1-05-4-03	062	BOTTA	
H4 P43 35/35	H4 P43 12V35/35	1-3-08-5-14	061	BHI	
HD-ACP100	ACP100		076	HADA	
HD-ACS001	ACS001	1-1-09-2-07	076	HADA	
HD-ACS001-2	ACS001-2	1-1-09-2-06	076	HADA	
HD-ACS001-4	ACS001-4	1-1-09-2-09	076	HADA	
HD-ACS002	ACS002	1-1-09-2-08	076	HADA	
HD-ACS003	ACS003	1-1-09-2-09	076	HADA	
HD-ACS003-02	ACS003-02		076	HADA	
HD-ACS200	ACS200	1-1-09-2-08	076	HADA	
HD-ALAA001	ALAA001	2-3-08-2-02	076	HADA	
HD-ALAC001	ALAC001	2-3-06-3-03	076	HADA	
HD-ALAD001	ALAD001	2-3-08-2-01	076	HADA	
HD-APS001	APS001	1-2-03-1-02	076	HADA	
HD-APS005	APS005	1-2-01-1-01	076	HADA	
HD-APS008	APS008	1-2-01-1-01	076	HADA	
HD-ARB001	ARB001	1-4-04-3-20	076	HADA	
HD-ARB002	ARB002	1-4-04-3-19	076	HADA	
HD-ARB003	ARB003	1-4-04-3-18	076	HADA	
HD-ARB004	ARB004	1-4-04-3-17	076	HADA	
HD-ARB005	ARB005	1-4-04-3-16	076	HADA	
HD-ARB006	ARB006	1-4-04-3-15	076	HADA	
HD-ARB007	ARB007	1-4-04-3-14	076	HADA	
HD-ARB008	ARB008	1-4-04-3-13	076	HADA	
HD-ARB009	ARB009	1-4-04-3-12	076	HADA	
HD-ARB010	ARB010	1-4-04-3-11	076	HADA	
HD-ARB011	ARB011	1-4-04-3-10	076	HADA	
HD-ARB012	ARB012	1-4-04-3-09	076	HADA	
HD-ARB013	ARB013	1-4-04-3-08	076	HADA	
HD-ARB014	ARB014	1-4-04-3-07	076	HADA	
HD-ARB015	ARB015	1-4-04-3-06	076	HADA	
HD-ARB016	ARB016	1-4-04-3-05	076	HADA	
HD-ARB017	ARB017	1-4-04-3-04	076	HADA	
HD-ARB018	ARB018	1-4-04-3-03	076	HADA	
HD-ARB102-1	ARB102-1	1-4-11-5-04	076	HADA	
HD-ARB200	ARB200	1-4-11-5-05	076	HADA	
HD-ARB300	ARB300	1-4-11-5-05	076	HADA	
HD-ARD011	ARD011	1-2-07-1-05	076	HADA	
HD-ARD012	ARD012	1-2-07-1-04	076	HADA	
HD-ARD100	ARD100	2-2-02-4-01	076	HADA	
HD-B004	B004		076	HADA	
HD-B005	B005	1-1-01-4-02	076	HADA	
HD-BAD001	BAD001	2-2-1-2-15	076	HADA	
HD-BAD002	BAD002	2-2-01-2-14	076	HADA	
HD-BAD003	BAD003	1-4-05-4-08	076	HADA	
HD-BAD004	BAD004	1-4-05-4-07	076	HADA	
HD-BAD005	BAD005	1-4-05-4-06	076	HADA	
HD-BAD006	BAD006	1-4-05-4-05	076	HADA	
HD-BAD100	BAD100	1-4-05-4-04	076	HADA	
HD-BAD200	BAD200	1-4-05-4-07	076	HADA	
HD-BAL001	BAL001	2-2-1-02-01	076	HADA	
HD-BAL002	BAL002	2-2-1-02-02	076	HADA	
HD-BAL003	BAL003	2-2-1-02-03	076	HADA	
HD-BAL005	BAL005	2-2-1-02-04	076	HADA	
HD-BAL006	BAL006	2-2-1-02-05	076	HADA	
HD-BAL008	BAL008	2-2-1-02-06	076	HADA	
HD-BAL009	BAL009	2-2-1-02-07	076	HADA	
HD-BAL010	BAL010	2-2-1-02-08	076	HADA	
HD-BAL011	BAL011	2-2-1-02-09	076	HADA	
HD-BAL012	BAL012	2-2-1-02-10	076	HADA	
HD-BAL013	BAL013	2-2-1-02-11	076	HADA	
HD-BAT001	BAT001	1-2-06-2-18	076	HADA	
HD-BAT200	BAT200	1-2-04-2-10	076	HADA	
HD-BAT201	BAT201	1-2-04-2-11	076	HADA	
HD-BDA001	BDA001	2-2-04-5-09	076	HADA	
HD-BDA002	BDA002	2-2-04-5-08	076	HADA	
HD-BDA004	BDA004	2-2-04-5-09	076	HADA	
HD-BDA005	BDA005	2-2-04-5-10	076	HADA	
HD-BDA011	BDA011	2-2-04-5-12	076	HADA	
HD-BDA012	BDA012	2-2-04-5-16	076	HADA	
HD-BDA013	BDA013	2-2-04-5-11	076	HADA	
HD-BDA014	BDA014	2-2-04-5-13	076	HADA	
HD-BDA202	BDA202	2-2-04-5-14	076	HADA	
HD-BDF001	BDF001	1-4-01-2-15	076	HADA	
HD-BDF002	BDF002	2-2-04-5-06	076	HADA	
HD-BDF003	BDF003	2-2-04-5-07	076	HADA	
HD-BDF011	BDF011	2-2-08-1-05	076	HADA	
HD-BDN001	BDN001		076	HADA	
HD-BDN001-1	BDN001-1	1-2-03-3-07	076	HADA	
HD-BDN001-2	BDN001-2	1-2-03-3-06	076	HADA	
HD-BDN002	BDN002		076	HADA	
HD-BDN003	BDN003		076	HADA	
HD-BDN100	BDN100	2-3-08-2-04	076	HADA	
HD-BES001	BES001	1-4-02-4-03	076	HADA	
HD-BES200	BES200	1-2-01-4-01	076	HADA	
HD-BES300	BES300	1-3-03-1-03	076	HADA	
HD-BLA001	BLA001	1-4-09-5-12	076	HADA	
HD-BLA002	BLA002	1-3-08-5-02	076	HADA	
HD-BLA011	BLA011	1-3-08-5-03	076	HADA	
HD-BLA012	BLA012	1-3-08-5-04	076	HADA	
HD-BLA013	BLA013	1-3-08-5-05	076	HADA	
HD-BLA014	BLA014	1-3-08-5-06	076	HADA	
HD-BLA021	BLA021	1-3-08-5-07	076	HADA	
HD-BLA022	BLA022	1-3-08-5-08	076	HADA	
HD-BLA031	BLA031	1-3-08-5-09	076	HADA	
HD-BLA032	BLA032	1-3-08-5-10	076	HADA	
HD-BLB001	BLB001	1-2-02-1-08	076	HADA	
HD-BLB002	BLB002	1-2-02-1-09	076	HADA	
HD-BOC001	BOC001	1-3-08-2-06	076	HADA	
HD-BOC002	BOC002	1-4-07-4-03	076	HADA	
HD-BOC003	BOC003	1-4-07-4-02	076	HADA	
HD-BOC004	BOC004	1-4-07-4-01	076	HADA	
HD-BRT001	BRT001	1-4-07-3-02	076	HADA	
HD-BRT100	BRT100	1-4-07-3-02	076	HADA	
HD-BTP001	BTP001	1-4-04-1-05	076	HADA	
HD-BTP002	BTP002	1-4-04-1-04	076	HADA	
HD-BTP003	BTP003	1-4-04-1-03	076	HADA	
HD-BTP004	BTP004	1-4-04-1-02	076	HADA	
HD-BTP005	BTP005	1-4-04-1-01	076	HADA	
HD-BTP006	BTP006	almacen	076	HADA	
HD-BTP009	BTP009	almacen	076	HADA	
HD-BTP010	BTP010	almacen	076	HADA	
HD-BUJ001	BUJ001	1-3-08-4-15	076	HADA	
HD-BUJ002	BUJ002	1-3-08-4-16	076	HADA	
HD-BUJ003	BUJ003	1-3-08-4-17	076	HADA	
HD-BUJ004	BUJ004	1-3-08-4-18	076	HADA	
HD-BUJ005	BUJ005	1-3-08-4-19	076	HADA	
HD-BUJ021	BUJ021	1-3-08-4-20	076	HADA	
HD-BUJ024	BUJ024	1-3-08-3-36	076	HADA	
HD-CAC002	CAC002	1-3-06-2-	076	HADA	
HD-CAC003	CAC003	1-3-06-2-	076	HADA	
HD-CAC004	CAC004	1-3-06-2-	076	HADA	
HD-CAC005	CAC005	1-3-06-2-	076	HADA	
HD-CAC006	CAC006	1-3-06-2-	076	HADA	
HD-CAC007	CAC007	1-3-06-2-	076	HADA	
HD-CAC008	CAC008	1-3-06-2-	076	HADA	
HD-CAC009	CAC009	1-3-06-2-	076	HADA	
HD-CAC010	CAC010	1-3-06-2-	076	HADA	
HD-CAC012	CAC012	1-3-06-2-07	076	HADA	
HD-CAC013	CAC013	1-3-06-2-	076	HADA	
HD-CAC014	CAC014	1-3-06-2-	076	HADA	
HD-CAC015	CAC015	1-3-06-2-	076	HADA	
HD-CAC017	CAC017	1-3-06-2-	076	HADA	
HD-CAC018	CAC018	1-3-06-2-	076	HADA	
HD-CAC019	CAC019	1-3-06-2-	076	HADA	
HD-CAC020	CAC020	1-3-06-2-	076	HADA	
HD-CAC021	CAC021	1-3-06-2-	076	HADA	
HD-CAC022	CAC022	1-3-06-2-	076	HADA	
HD-CAC023	CAC023	1-3-06-2-	076	HADA	
HD-CAC026	CAC026	1-3-06-2-	076	HADA	
HD-CAC027	CAC027	1-3-06-2-	076	HADA	
HD-CAC028	CAC028	1-3-06-1-	076	HADA	
HD-CAC029	CAC029	1-3-06-1-	076	HADA	
HD-CAC030	CAC030	1-3-06-1-	076	HADA	
HD-CAC031	CAC031	1-3-06-1-	076	HADA	
HD-CAC032	CAC032	1-3-06-1-	076	HADA	
HD-CAC034	CAC034	1-3-06-1-	076	HADA	
HD-CAC040	CAC040	1-3-06-1-	076	HADA	
HD-CAC043	CAC043	1-3-06-1-	076	HADA	
HD-CAC046	CAC046	1-3-06-1-	076	HADA	
HD-CAC048	CAC048	1-3-06-1-	076	HADA	
HD-CAC051	CAC051	1-3-06-1-	076	HADA	
HD-CAC052	CAC052	1-3-06-1-	076	HADA	
HD-CAC053	CAC053	1-3-06-1-	076	HADA	
HD-CAC054	CAC054	1-3-06-1-	076	HADA	
HD-CAC055	CAC055	1-3-06-1-	076	HADA	
HD-CAC056	CAC056	1-3-06-1-	076	HADA	
HD-CAC058	CAC058	1-3-06-1-	076	HADA	
HD-CAC100	CAC100	1-3-06-1-	076	HADA	
HD-CAC2000	CAC2000	1-3-06-1-	076	HADA	
HD-CAC2001	CAC2001	1-3-03-2-04	076	HADA	
HD-CAC2002	CAC2002	1-3-06-1-	076	HADA	
HD-CAD001	CAD001	2-2-03-3-01	076	HADA	
HD-CAD002	CAD002	2-2-03-3-02	076	HADA	
HD-CAD003	CAD003	2-2-03-3-03	076	HADA	
HD-CAD004	CAD004	2-2-03-3-04	076	HADA	
HD-CAD005	CAD005	2-2-03-3-05	076	HADA	
HD-CAD006	CAD006	2-2-03-3-06	076	HADA	
HD-CAD007	CAD007	2-2-03-3-07	076	HADA	
HD-CAD021	CAD021	2-2-03-3-08	076	HADA	
HD-CAD022	CAD022	2-2-03-3-09	076	HADA	
HD-CAD023	CAD023	2-2-03-3-10	076	HADA	
HD-CAD024	CAD024	2-2-03-3-11	076	HADA	
HD-CAD025	CAD025	2-2-03-3-12	076	HADA	
HD-CAD026	CAD026	2-2-03-3-13	076	HADA	
HD-CAD030	CAD030	2-2-03-3-13	076	HADA	
HD-CAD031	CAD031	2-2-03-3-14	076	HADA	
HD-CAD032	CAD032	2-2-03-3-15	076	HADA	
HD-CAD037	CAD037	2-2-03-3-16	076	HADA	
HD-CAM063	CAM063		076	HADA	
HD-CAM091	CAM091	FONDO	076	HADA	
HD-CAR001	CAR001	1-3-01-1-01	076	HADA	
HD-CAR002	CAR002	1-3-01-1-02	076	HADA	
HD-CAR003	CAR003	1-3-01-2-03	076	HADA	
HD-CAR004	CAR004	1-3-01-2-07	076	HADA	
HD-CAR005	CAR005	1-3-01-2-05	076	HADA	
HD-CAR006	CAR006	1-3-01-2-06	076	HADA	
HD-CCM001	CCM001	1-4-04-3-28	076	HADA	
HD-CCM002	CCM002	1-4-04-3-27	076	HADA	
HD-CCM003	CCM003	1-4-04-3-26	076	HADA	
HD-CCM004	CCM004	1-4-04-3-25	076	HADA	
HD-CCM005	CCM005	1-4-04-3-24	076	HADA	
HD-CCM006	CCM006	1-4-04-3-23	076	HADA	
HD-CCM007	CCM007	1-4-04-3-22	076	HADA	
HD-CCM009	CCM009	1-4-04-3-21	076	HADA	
HD-CDB001	CDB001		076	HADA	
HD-CDB002	CDB002		076	HADA	
HD-CDD001	CDD001	2-4-01-2-01	076	HADA	
HD-CDD003	CDD003	2-4-01-2-02	076	HADA	
HD-CDD005	CDD005	2-4-01-2-04	076	HADA	
HD-CDD100	CDD100	2-4-01-2-06	076	HADA	
HD-CDD100-1	CDD100-1	2-4-01-2-07	076	HADA	
HD-CDD101	CDD101	2-4-01-2-08	076	HADA	
HD-CDD102	CDD102	2-4-01-2-09	076	HADA	
HD-CDD103	CDD103	2-4-01-2-10	076	HADA	
HD-CDD104	CDD104	2-4-01-2-11	076	HADA	
HD-CDD200	CDD200	2-4-01-2-12	076	HADA	
HD-CDD201	CDD201	2-4-01-2-13	076	HADA	
HD-CDD202	CDD202	2-4-01-2-14	076	HADA	
HD-CDD203	CDD203	2-4-01-2-15	076	HADA	
HD-CDD204	CDD204	2-4-01-2-16	076	HADA	
HD-CDD300	CDD300	2-4-01-2-17	076	HADA	
HD-CDD301	CDD301	2-4-01-2-18	076	HADA	
HD-CDD400	CDD400	2-4-01-2-19	076	HADA	
HD-CDD401	CDD401	2-4-01-2-20	076	HADA	
HD-CDD500	CDD500	2-4-01-2-21	076	HADA	
HD-CDD501	CDD501	2-4-01-2-22	076	HADA	
HD-CDD600	CDD600	2-4-01-2-23	076	HADA	
HD-CDD700	CDD700	2-4-01-2-24	076	HADA	
HD-CDI001	CDI001	1-2-07-3-04	076	HADA	
HD-CDI002	CDI002	1-2-07-3-05	076	HADA	
HD-CDI003	CDI003	1-2-07-3-03	076	HADA	
HD-CDI005	CDI005		076	HADA	
HD-CDI006	CDI006	1-2-06-3-10	076	HADA	
HD-CDI007	CDI201	1-2-05-2-13	076	HADA	
HD-CDI009	CDI009	1-2-07-3-02	076	HADA	
HD-CDN001	CDN001	2-2-03-3-17	076	HADA	
HD-CDN002	CDN002	2-2-03-3-18	076	HADA	
HD-CDN003	CDN003	2-2-03-3-19	076	HADA	
HD-CDN004	CDN004	2-2-03-3-20	076	HADA	
HD-CDN005	CDN005	2-2-03-3-22	076	HADA	
HD-CDN006	CDN006	2-2-03-3-22	076	HADA	
HD-CDN007	CDN007	2-2-03-3-23	076	HADA	
HD-CDN008	CDN008	2-2-03-3-24	076	HADA	
HD-CDN010	CDN010	2-2-03-3-25	076	HADA	
HD-CDN020	CDN020	2-2-03-3-26	076	HADA	
HD-CDN200	CDN200	2-2-03-3-27	076	HADA	
HD-CDT001	CDT001	1-2-99-Atrás	076	HADA	
HD-CDT002	CDT002	1-2-99-Atrás	076	HADA	
HD-CDT003	CDT003	1-2-99-Atrás	076	HADA	
HD-CDT004	CDT004	Atrás	21	XXI	
HD-CDT025	CDT025	1-2-99-Atrás	076	HADA	
HD-CDT031	CDT031	1-2-99-Atrás	076	HADA	
HD-CDT041	CDT041	1-2-99-Atrás	076	HADA	
HD-CEM002	CEM002	1-3-06-4-10	076	HADA	
HD-CEM004	CEM004	1-3-06-4-10	076	HADA	
HD-CEM005	CEM005	1-3-06-4-09	076	HADA	
HD-CEM006	CEM006	1-3-06-4-09	076	HADA	
HD-CEM007	CEM007	1-3-06-4-08	076	HADA	
HD-CEM008	CEM008	1-3-06-4-08	076	HADA	
HD-CEM009	CEM009	1-3-06-4-07	076	HADA	
HD-CEM010	CEM010	1-3-06-4-07	076	HADA	
HD-CEM011	CEM011	1-3-06-4-06	076	HADA	
HD-CEM012	CEM012	1-3-06-4-06	076	HADA	
HD-CEM013	CEM013	1-3-06-4-05	076	HADA	
HD-CEM014	CEM014	1-3-06-4-05	076	HADA	
HD-CEM015	CEM015	1-3-06-4-04	076	HADA	
HD-CEM016	CEM016	1-3-06-4-04	076	HADA	
HD-CEM017	CEM017	1-3-06-4-03	076	HADA	
HD-CEM018	CEM018	1-3-06-4-03	076	HADA	
HD-CEM019	CEM019	1-3-06-4-02	076	HADA	
HD-CEM020	CEM020	1-3-06-4-02	076	HADA	
HD-CEM021	CEM021	1-3-06-4-01	076	HADA	
HD-CEM022	CEM022	1-3-06-4-01	076	HADA	
HD-CEM023	CEM023	1-3-06-4-	076	HADA	
HD-CEM025	CEM025	1-3-06-4-	076	HADA	
HD-CEM026	CEM026	1-3-06-3-	076	HADA	
HD-CEM027	CEM027	1-3-06-3-	076	HADA	
HD-CEM028	CEM028	1-3-06-3-	076	HADA	
HD-CEM029	CEM029	1-3-06-3-	076	HADA	
HD-CEM030	CEM030	1-3-06-3-	076	HADA	
HD-CEM031	CEM031	1-3-06-3-	076	HADA	
HD-CEM032	CEM032	1-3-06-3-	076	HADA	
HD-CEM033	CEM033	1-3-06-3-	076	HADA	
HD-CEM041	CEM041	1-3-06-3-	076	HADA	
HD-CEM043	CEM043	1-3-06-3-	076	HADA	
HD-CEM044	CEM044	1-3-06-3-	076	HADA	
HD-CEM046	CEM046	1-3-06-3-	076	HADA	
HD-CEM047	CEM047	1-3-06-3-	076	HADA	
HD-CEM1000	CEM1000	1-3-06-3-	076	HADA	
HD-CEM1001	CEM1001	1-3-06-3-	076	HADA	
HD-CEM1002	CEM1002	1-3-06-3-	076	HADA	
HD-CEM200	CEM200	1-3-06-3-	076	HADA	
HD-CFC001	CFC001		076	HADA	
HD-CFC002	CFC002		076	HADA	
HD-CFD001	CFD001	1-3-08-1-08	076	HADA	
HD-CFD002	CFD002	1-3-03-2-01	076	HADA	
HD-CFD003	CFD003	1-3-01-2-04	076	HADA	
HD-CFD004	CFD004	1-3-01-2-02	076	HADA	
HD-CFD010	CFD010	1-3-01-2-02	076	HADA	
HD-CFD011	CFD011	1-3-01-2-02	076	HADA	
HD-CFD100	CFD100	1-3-01-1-05	076	HADA	
HD-COM001	COM001	2-2-01-1-13	076	HADA	
HD-COM002	COM002	2-2-01-1-12	076	HADA	
HD-COM003	COM003	2-2-01-1-11	076	HADA	
HD-COM004	COM004	2-2-01-1-10	076	HADA	
HD-COM005	COM005	2-2-01-1-09	076	HADA	
HD-COM006	COM006	2-2-01-1-08	076	HADA	
HD-COM007	COM007	2-2-01-1-07	076	HADA	
HD-COM008	COM008	2-2-01-1-06	076	HADA	
HD-COM009	COM009	2-2-01-1-05	076	HADA	
HD-COM013	COM013	2-2-01-1-04	076	HADA	
HD-COM014	COM014	2-2-01-1-03	076	HADA	
HD-COM031	COM031	2-2-01-1-02	076	HADA	
HD-COM032	COM032	2-2-01-1-01	076	HADA	
HD-CRB100	CRB100	1-2-02-3-01	076	HADA	
HD-CRB101	CRB101	1-2-02-3-02	076	HADA	
HD-CRB102	CRB102	1-2-02-3-03	076	HADA	
HD-CRB103	CRB103	1-2-02-3-03	076	HADA	
HD-CRB104	CRB104	1-2-02-3-04	076	HADA	
HD-CRB105	CRB105	1-2-02-3-05	076	HADA	
HD-CRB106	CRB106	1-2-02-3-06	076	HADA	
HD-CRB111	CRB111	1-2-02-3-07	076	HADA	
HD-CRB200	CRB200	1-2-02-3-08	076	HADA	
HD-CRB201	CRB201	1-2-02-3-10	076	HADA	
HD-CRB400	CRB400	1-2-02-3-09	076	HADA	
HD-CRB401	CRB401	1-2-02-3-10	076	HADA	
HD-CRB500	CRB500	1-2-02-3-11	076	HADA	
HD-CRB502	CRB502	1-2-02-3-12	076	HADA	
HD-CRB600	CRB600	1-2-02-3-13	076	HADA	
HD-CRB601	CRB601	1-2-02-3-14	076	HADA	
HD-CRB602	CRB602	1-2-02-3-15	076	HADA	
HD-CRB602-1	CRB602-1	1-2-02-3-16	076	HADA	
HD-CRB603	CRB603	1-2-02-3-16	076	HADA	
HD-CRB700	CRB700	1-2-02-3-17	076	HADA	
HD-CRB701	CRB701	1-2-02-3-18	076	HADA	
HD-CRB702	CRB702	1-2-02-3-19	076	HADA	
HD-CRB703	CRB703	1-2-02-3-20	076	HADA	
HD-CUC001	CUC001		076	HADA	
HD-CUC003	CUC003		076	HADA	
HD-CVL001	CVL001	1-3-06-5-	076	HADA	
HD-CVL002	CVL002	1-3-06-5-	076	HADA	
HD-CVL004	CVL004	1-3-06-5-	076	HADA	
HD-CVL005	CVL005	1-3-06-5-	076	HADA	
HD-CVL006	CVL006	1-3-06-5-	076	HADA	
HD-CVL007	CVL007	1-3-06-5-	076	HADA	
HD-CVL008	CVL008	1-3-06-5-	076	HADA	
HD-CVL010	CVL010	1-3-06-5-	076	HADA	
HD-CVL011	CVL011	1-3-06-5-	076	HADA	
HD-CVL012	CVL012	1-3-06-5-	076	HADA	
HD-CVL013	CVL013	1-3-06-5-	076	HADA	
HD-CVL014	CVL014	1-3-06-5-	076	HADA	
HD-CVL015	CVL015	1-3-06-4-13	076	HADA	
HD-CVL016	CVL016	1-3-06-5-	076	HADA	
HD-CVL017	CVL017	1-3-03-5-03	076	HADA	
HD-CVL020	CVL020	1-3-03-5-04	076	HADA	
HD-CVL100	CVL100	1-3-03-5-05	076	HADA	
HD-DEM001	DEM001	1-4-06-5-08	076	HADA	
HD-DEM002	DEM002	1-4-06-5-07	076	HADA	
HD-DEM003	DEM003	1-4-06-5-06	076	HADA	
HD-DEM004	DEM004	1-4-06-5-05	076	HADA	
HD-DEM005	DEM005	1-4-06-5-04	076	HADA	
HD-DEM006	DEM006	1-4-06-5-03	076	HADA	
HD-DEM007	DEM007	1-4-06-5-02	076	HADA	
HD-DEM008	DEM008	1-4-06-5-01	076	HADA	
HD-DEM009	DEM009	1-4-07-5-01	076	HADA	
HD-DEM010	DEM010	1-4-04-5-12	076	HADA	
HD-DEM011	DEM011	1-4-07-4-08	076	HADA	
HD-DEM012	DEM012	1-4-07-4-07	076	HADA	
HD-DEM013	DEM013	1-4-07-4-06	076	HADA	
HD-DEM014	DEM014	1-4-04-5-09	076	HADA	
HD-DEM016	DEM016	1-4-07-4-05	076	HADA	
HD-DEM100	DEM100	1-4-04-5-06	076	HADA	
HD-DSD001	DSD001	1-4-04-3-02	076	HADA	
HD-DSD002	DSD002	1-4-04-3-01	076	HADA	
HD-EAL001	EAL001	2-2-04-5-01	076	HADA	
HD-EAL003	EAL003	2-2-04-5-01	076	HADA	
HD-EAL100	EAL100	2-2-04-5-02	076	HADA	
HD-EAL101	EAL101	2-2-04-4-02	076	HADA	
HD-EAL102	EAL102	2-2-04-5-03	076	HADA	
HD-EAL200	EAL200	2-2-04-5-04	076	HADA	
HD-EDC202	EDC202	1-2-04-4-04	076	HADA	
HD-EDH010	EDH010	1-2-07-2-01	076	HADA	
HD-EDH011	EDH011	1-2-07-2-02	076	HADA	
HD-EDH012	EDH012	1-2-07-2-03	076	HADA	
HD-EDH013	EDH013	1-2-07-2-04	076	HADA	
HD-EDH014	EDH014	1-2-07-2-05	076	HADA	
HD-EDH020	EDH020	1-2-07-2-06	076	HADA	
HD-EDH021	EDH021	1-2-07-2-07	076	HADA	
HD-EDH022	EDH022	1-2-07-2-08	076	HADA	
HD-EDH023	EDH023	1-2-07-2-09	076	HADA	
HD-EDH024	EDH024	1-2-07-2-10	076	HADA	
HD-EDH030	EDH030	1-2-07-2-11	076	HADA	
HD-EDH031	EDH031	1-2-07-1-01	076	HADA	
HD-EDH032	EDH032	1-2-07-2-12	076	HADA	
HD-EDH034	EDH034	1-2-07-2-13	076	HADA	
HD-EDH035	EDH035	1-2-07-2-14	076	HADA	
HD-EDH036	EDH036	1-2-07-2-15	076	HADA	
HD-EDH037	EDH037	1-2-07-2-16	076	HADA	
HD-EDH100	EDH100	1-2-07-1-02	076	HADA	
HD-EDH401	EDH401	1-2-07-2-17	076	HADA	
HD-EDR001	EDR001	2-4-01-1-01	076	HADA	
HD-EDR002	EDR002	2-4-01-1-02	076	HADA	
HD-EDR100	EDR100	2-4-01-1-03	076	HADA	
HD-EDR200	EDR200	2-4-01-1-04	076	HADA	
HD-EDR201	EDR201	2-4-01-1-05	076	HADA	
HD-EDR301	EDR301	2-4-01-1-06	076	HADA	
HD-EDR400	EDR400	2-4-01-1-07	076	HADA	
HD-EDR401	EDR401	2-4-01-1-08	076	HADA	
HD-EDR500	EDR500	2-4-01-1-11	076	HADA	
HD-EJE001	EJE001	2-4-01-1-12	076	HADA	
HD-EJE002	EJE002	2-4-01-1-13	076	HADA	
HD-EJE011	EJE011	2-4-02-1-01	076	HADA	
HD-EJE012	EJE012	2-4-02-1-02	076	HADA	
HD-EMC001	EMC001		076	HADA	
HD-EMC002	EMC002		076	HADA	
HD-EMC-C102-1	EMC-C102-1	2-3-10-5-18	076	HADA	
HD-EMC-C502	EMC-C502	2-3-10-5-12	076	HADA	
HD-EMC-C503	EMC-C503	2-3-10-5-11	076	HADA	
HD-EMC-C504	EMC-C504	2-3-10-5-10	076	HADA	
HD-EMC-C505	EMC-C505	2-3-10-5-09	076	HADA	
HD-EMC-C507	EMC-C507	2-3-10-5-08	076	HADA	
HD-EMC-E001	EMC-E001	2-3-10-5-08	076	HADA	
HD-EMC-E002	EMC-E002		076	HADA	
HD-EMC-E100	EMC-E100	2-3-10-5-15	076	HADA	
HD-EMC-E101	EMC-E101		076	HADA	
HD-EMC-E200	EMC-E200		076	HADA	
HD-EMC-P001	EMC-P001	2-3-10-5-10	076	HADA	
HD-EMC-P002	EMC-P002	2-3-10-5-19	076	HADA	
HD-EMC-P100	EMC-P100	2-3-10-5-12	076	HADA	
HD-EMC-P101	EMC-P101	2-3-10-5-20	076	HADA	
HD-ESP001	ESP001	1-2-01-2-18	076	HADA	
HD-ESP003	ESP003	1-2-01-2-17	076	HADA	
HD-ESP004	ESP004	1-2-01-2-16	076	HADA	
HD-ESP007	ESP007	1-2-01-2-15	076	HADA	
HD-ESP008	ESP008	1-2-01-2-14	076	HADA	
HD-ESP010	ESP010	1-2-01-2-13	076	HADA	
HD-ESP015	ESP015	1-2-01-2-12	076	HADA	
HD-ESP016	ESP016	1-2-01-2-11	076	HADA	
HD-ESP017	ESP017	1-2-01-2-10	076	HADA	
HD-ESP018	ESP018	1-2-01-2-09	076	HADA	
HD-ESP019	ESP019	1-2-01-2-08	076	HADA	
HD-ESP020	ESP020	1-2-01-2-07	076	HADA	
